,JuliaLang/julia,python/cpython,rust-lang/rust
2014-06-16,20,32,30
2014-06-17,23,25,46
2014-06-18,23,6,33
2014-06-19,15,11,41
2014-06-20,28,19,22
2014-06-21,20,5,17
2014-06-22,15,24,13
2014-06-23,10,8,18
2014-06-24,22,20,36
2014-06-25,24,37,60
2014-06-26,14,11,31
2014-06-27,10,20,17
2014-06-28,28,5,29
2014-06-29,8,5,20
2014-06-30,27,14,35
2014-07-01,18,20,24
2014-07-02,26,14,36
2014-07-03,18,6,41
2014-07-04,18,4,56
2014-07-05,10,11,32
2014-07-06,4,6,22
2014-07-07,9,41,19
2014-07-08,9,10,40
2014-07-09,19,3,44
2014-07-10,20,10,31
2014-07-11,9,18,31
2014-07-12,7,8,15
2014-07-13,19,6,27
2014-07-14,27,10,27
2014-07-15,20,4,32
2014-07-16,12,20,28
2014-07-17,18,12,27
2014-07-18,23,4,36
2014-07-19,6,4,20
2014-07-20,10,3,17
2014-07-21,20,14,58
2014-07-22,17,15,31
2014-07-23,18,26,29
2014-07-24,24,30,48
2014-07-25,7,30,43
2014-07-26,15,12,23
2014-07-27,17,10,23
2014-07-28,20,10,23
2014-07-29,25,18,48
2014-07-30,21,8,21
2014-07-31,6,4,41
2014-08-01,19,7,29
2014-08-02,7,5,27
2014-08-03,9,7,18
2014-08-04,13,21,23
2014-08-05,44,16,23
2014-08-06,21,6,41
2014-08-07,34,9,24
2014-08-08,56,4,28
2014-08-09,30,13,28
2014-08-10,16,10,13
2014-08-11,37,3,15
2014-08-12,48,10,41
2014-08-13,19,2,50
2014-08-14,19,5,25
2014-08-15,15,13,21
2014-08-16,7,9,14
2014-08-17,10,19,24
2014-08-18,33,4,30
2014-08-19,24,9,34
2014-08-20,20,3,22
2014-08-21,8,2,36
2014-08-22,19,20,18
2014-08-23,5,10,25
2014-08-24,8,13,23
2014-08-25,21,8,16
2014-08-26,21,4,15
2014-08-27,24,8,23
2014-08-28,14,2,21
2014-08-29,21,9,30
2014-08-30,9,2,23
2014-08-31,1,16,35
2014-09-01,8,9,11
2014-09-02,3,5,21
2014-09-03,10,19,18
2014-09-04,11,8,24
2014-09-05,9,9,31
2014-09-06,20,15,19
2014-09-07,17,0,25
2014-09-08,9,2,24
2014-09-09,9,3,45
2014-09-10,11,8,25
2014-09-11,6,11,19
2014-09-12,18,2,26
2014-09-13,6,2,15
2014-09-14,20,9,35
2014-09-15,16,9,36
2014-09-16,18,7,22
2014-09-17,15,14,61
2014-09-18,26,12,30
2014-09-19,14,6,21
2014-09-20,23,20,18
2014-09-21,10,14,12
2014-09-22,10,10,43
2014-09-23,12,18,19
2014-09-24,24,14,34
2014-09-25,22,13,31
2014-09-26,31,10,21
2014-09-27,5,17,16
2014-09-28,20,7,9
2014-09-29,20,15,47
2014-09-30,29,45,37
2014-10-01,12,24,40
2014-10-02,11,23,67
2014-10-03,30,14,43
2014-10-04,7,29,22
2014-10-05,17,13,27
2014-10-06,11,24,25
2014-10-07,19,4,29
2014-10-08,26,10,23
2014-10-09,17,18,48
2014-10-10,11,36,12
2014-10-11,24,18,25
2014-10-12,6,45,23
2014-10-13,8,24,41
2014-10-14,21,10,22
2014-10-15,19,24,28
2014-10-16,10,4,27
2014-10-17,18,21,21
2014-10-18,10,9,17
2014-10-19,11,7,16
2014-10-20,23,7,15
2014-10-21,21,2,23
2014-10-22,12,3,20
2014-10-23,32,7,21
2014-10-24,17,0,19
2014-10-25,11,6,26
2014-10-26,9,3,21
2014-10-27,9,0,53
2014-10-28,14,30,41
2014-10-29,13,34,24
2014-10-30,26,33,45
2014-10-31,9,22,37
2014-11-01,3,12,18
2014-11-02,8,22,30
2014-11-03,10,7,76
2014-11-04,14,6,24
2014-11-05,14,20,34
2014-11-06,20,9,69
2014-11-07,12,13,40
2014-11-08,13,2,18
2014-11-09,8,2,31
2014-11-10,55,19,18
2014-11-11,38,6,18
2014-11-12,15,4,32
2014-11-13,2,0,20
2014-11-14,19,3,20
2014-11-15,14,7,14
2014-11-16,17,0,42
2014-11-17,9,2,62
2014-11-18,28,8,42
2014-11-19,26,4,73
2014-11-20,29,8,38
2014-11-21,22,6,55
2014-11-22,12,7,18
2014-11-23,15,10,46
2014-11-24,13,10,25
2014-11-25,40,6,36
2014-11-26,9,9,33
2014-11-27,13,20,45
2014-11-28,15,17,11
2014-11-29,9,2,7
2014-11-30,20,7,16
2014-12-01,7,23,12
2014-12-02,20,10,18
2014-12-03,12,4,33
2014-12-04,15,8,41
2014-12-05,15,20,60
2014-12-06,6,12,17
2014-12-07,13,7,51
2014-12-08,22,12,27
2014-12-09,29,2,42
