,facebook/react-native,NativeScript/NativeScript,flutter/flutter
2019-01-30,6,0,22
2019-01-31,7,1,3
2019-02-01,13,0,13
2019-02-02,4,0,0
2019-02-03,0,0,1
2019-02-04,16,2,10
2019-02-05,15,0,21
2019-02-06,13,5,18
2019-02-07,11,1,6
2019-02-08,5,11,17
2019-02-09,5,0,4
2019-02-10,1,2,0
2019-02-11,21,1,8
2019-02-12,20,0,23
2019-02-13,15,2,19
2019-02-14,18,3,6
2019-02-15,27,2,19
2019-02-16,2,0,5
2019-02-17,8,0,0
2019-02-18,6,0,0
2019-02-19,15,3,0
2019-02-20,21,4,13
2019-02-21,26,11,15
2019-02-22,25,7,17
2019-02-23,2,0,13
2019-02-24,4,3,5
2019-02-25,22,1,12
2019-02-26,13,2,18
2019-02-27,9,0,12
2019-02-28,21,3,10
2019-03-01,11,5,20
2019-03-02,9,0,3
2019-03-03,19,0,1
2019-03-04,20,2,8
2019-03-05,21,2,0
2019-03-06,7,0,16
2019-03-07,5,0,9
2019-03-08,6,1,14
2019-03-09,0,0,15
2019-03-10,0,0,6
2019-03-11,3,0,9
2019-03-12,9,3,14
2019-03-13,24,1,8
2019-03-14,10,5,10
2019-03-15,23,6,24
2019-03-16,5,0,6
2019-03-17,1,0,2
2019-03-18,19,2,11
2019-03-19,29,0,13
2019-03-20,15,6,15
2019-03-21,15,7,21
2019-03-22,12,6,7
2019-03-23,7,0,4
2019-03-24,3,0,2
2019-03-25,11,4,6
2019-03-26,15,3,12
2019-03-27,10,0,17
2019-03-28,5,4,11
2019-03-29,13,5,17
2019-03-30,3,0,8
2019-03-31,2,0,3
2019-04-01,18,0,6
2019-04-02,10,2,14
2019-04-03,18,6,11
2019-04-04,19,0,19
2019-04-05,6,1,17
2019-04-06,2,0,3
2019-04-07,3,0,2
2019-04-08,10,0,9
2019-04-09,7,0,13
2019-04-10,23,3,16
2019-04-11,9,0,17
2019-04-12,7,3,2
2019-04-13,0,0,2
2019-04-14,2,0,0
2019-04-15,18,3,12
2019-04-16,11,0,16
2019-04-17,12,1,13
2019-04-18,7,0,18
2019-04-19,2,0,13
2019-04-20,4,0,1
2019-04-21,1,0,0
2019-04-22,4,0,19
2019-04-23,18,1,15
2019-04-24,12,0,17
2019-04-25,16,0,29
2019-04-26,11,0,17
2019-04-27,3,0,6
2019-04-28,0,0,1
2019-04-29,16,0,21
2019-04-30,28,0,17
2019-05-01,11,2,23
2019-05-02,5,0,22
2019-05-03,23,6,17
2019-05-04,2,0,9
2019-05-05,0,0,0
2019-05-06,6,3,16
2019-05-07,23,11,8
2019-05-08,20,9,9
2019-05-09,25,10,13
2019-05-10,11,6,20
2019-05-11,1,1,2
2019-05-12,1,0,3
2019-05-13,15,2,13
2019-05-14,11,2,19
2019-05-15,15,4,14
2019-05-16,21,1,13
2019-05-17,5,2,10
2019-05-18,4,0,3
2019-05-19,0,0,2
2019-05-20,27,1,20
2019-05-21,13,6,22
2019-05-22,27,9,8
2019-05-23,11,1,8
2019-05-24,27,0,9
2019-05-25,2,0,3
2019-05-26,1,0,2
2019-05-27,1,0,2
2019-05-28,12,0,13
2019-05-29,8,0,15
2019-05-30,20,0,31
2019-05-31,29,3,14
2019-06-01,6,0,8
2019-06-02,3,0,1
2019-06-03,11,5,25
2019-06-04,15,2,23
2019-06-05,10,3,14
2019-06-06,18,4,23
2019-06-07,20,2,19
2019-06-08,1,0,13
2019-06-09,3,0,6
2019-06-10,15,1,19
2019-06-11,15,0,18
2019-06-12,14,1,15
2019-06-13,18,1,16
2019-06-14,8,0,16
2019-06-15,3,0,7
2019-06-16,0,0,4
2019-06-17,6,2,5
2019-06-18,12,2,16
2019-06-19,12,0,23
2019-06-20,12,1,19
2019-06-21,31,5,11
2019-06-22,2,0,7
2019-06-23,3,0,4
2019-06-24,24,3,9
2019-06-25,7,8,13
2019-06-26,24,8,14
2019-06-27,18,6,17
2019-06-28,13,9,26
2019-06-29,3,0,0
2019-06-30,0,0,0
2019-07-01,16,1,8
2019-07-02,17,0,5
2019-07-03,5,5,13
2019-07-04,17,2,2
2019-07-05,4,0,1
2019-07-06,1,0,0
2019-07-07,1,0,0
2019-07-08,16,2,17
2019-07-09,7,5,16
2019-07-10,14,11,13
2019-07-11,18,1,15
2019-07-12,9,0,16
2019-07-13,8,0,5
2019-07-14,0,0,0
