,ansible/ansible,cfengine/core,saltstack/salt
2020-02-05,16,12,5
2020-02-06,8,0,4
2020-02-07,7,1,8
2020-02-08,17,0,7
2020-02-09,2,0,2
2020-02-10,12,6,7
2020-02-11,30,9,6
2020-02-12,23,0,8
2020-02-13,15,15,2
2020-02-14,24,1,4
2020-02-15,45,0,6
2020-02-16,5,0,0
2020-02-17,19,1,3
2020-02-18,23,9,3
2020-02-19,22,8,6
2020-02-20,12,5,1
2020-02-21,16,10,1
2020-02-22,3,0,2
2020-02-23,0,0,0
2020-02-24,31,1,4
2020-02-25,16,1,2
2020-02-26,17,0,4
2020-02-27,12,3,0
2020-02-28,24,3,2
2020-02-29,9,0,0
2020-03-01,17,0,0
2020-03-02,18,3,2
2020-03-03,1,9,5
2020-03-04,7,4,0
2020-03-05,4,1,0
2020-03-06,4,0,3
2020-03-07,0,0,0
2020-03-08,0,0,1
2020-03-09,0,1,10
2020-03-10,0,1,37
2020-03-11,0,0,63
2020-03-12,0,3,7
2020-03-13,0,3,21
2020-03-14,0,0,9
2020-03-15,0,0,4
2020-03-16,0,1,17
2020-03-17,0,1,53
2020-03-18,0,2,3
2020-03-19,0,7,12
2020-03-20,0,5,11
2020-03-21,0,0,0
2020-03-22,0,0,2
2020-03-23,152,0,11
2020-03-24,11,2,10
2020-03-25,20,1,1
2020-03-26,12,1,8
2020-03-27,4,0,10
2020-03-28,6,0,0
2020-03-29,3,0,5
2020-03-30,7,0,12
2020-03-31,5,1,14
2020-04-01,4,3,10
2020-04-02,1,2,13
2020-04-03,1,0,17
2020-04-04,0,0,8
2020-04-05,0,0,0
2020-04-06,8,3,16
2020-04-07,3,1,87
2020-04-08,9,3,15
2020-04-09,11,5,35
2020-04-10,5,1,29
2020-04-11,0,0,50
2020-04-12,0,0,35
2020-04-13,3,0,61
2020-04-14,7,3,60
2020-04-15,6,1,49
2020-04-16,8,2,32
2020-04-17,6,5,55
2020-04-18,1,0,60
2020-04-19,0,0,15
2020-04-20,1,10,66
2020-04-21,7,0,150
2020-04-22,3,2,154
2020-04-23,10,5,105
2020-04-24,3,3,41
2020-04-25,0,0,1
2020-04-26,0,0,28
2020-04-27,4,26,20
2020-04-28,8,7,11
2020-04-29,1,2,60
2020-04-30,8,0,5
2020-05-01,1,0,9
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,9,1,18
2020-05-05,12,3,9
2020-05-06,5,0,22
2020-05-07,5,0,119
2020-05-08,4,3,25
2020-05-09,0,0,10
2020-05-10,0,0,44
2020-05-11,5,1,8
2020-05-12,8,4,16
2020-05-13,7,0,4
2020-05-14,16,0,15
2020-05-15,10,1,15
2020-05-16,6,0,11
2020-05-17,0,0,7
2020-05-18,2,4,71
2020-05-19,5,8,42
2020-05-20,8,0,30
2020-05-21,6,0,31
2020-05-22,4,0,60
2020-05-23,0,1,9
2020-05-24,0,0,0
2020-05-25,0,0,4
2020-05-26,8,4,0
2020-05-27,8,0,1
2020-05-28,13,1,0
2020-05-29,22,0,0
2020-05-30,1,0,0
2020-05-31,1,0,0
2020-06-01,5,1,0
2020-06-02,5,1,0
2020-06-03,4,0,0
2020-06-04,10,1,17
2020-06-05,8,3,10
2020-06-06,3,0,0
2020-06-07,0,0,6
2020-06-08,7,8,0
2020-06-09,10,10,37
2020-06-10,15,33,0
2020-06-11,18,2,0
2020-06-12,5,1,0
2020-06-13,1,0,0
2020-06-14,0,0,0
2020-06-15,9,4,0
2020-06-16,15,0,0
2020-06-17,6,7,0
2020-06-18,8,8,0
2020-06-19,12,6,0
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,6,12,0
2020-06-23,13,5,0
2020-06-24,5,0,0
2020-06-25,8,2,0
2020-06-26,3,3,0
2020-06-27,1,0,1
2020-06-28,0,0,0
2020-06-29,12,2,0
2020-06-30,11,0,0
2020-07-01,11,0,0
2020-07-02,12,0,0
2020-07-03,5,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,3,0,0
2020-07-07,9,0,0
2020-07-08,4,0,0
2020-07-09,7,0,0
2020-07-10,11,0,0
2020-07-11,3,0,0
2020-07-12,0,0,0
2020-07-13,8,0,98
2020-07-14,12,0,32
2020-07-15,9,1,24
2020-07-16,4,0,0
2020-07-17,6,0,0
2020-07-18,0,0,0
2020-07-19,1,0,0
2020-07-20,15,1,0
2020-07-21,9,0,0
2020-07-22,9,5,14
2020-07-23,6,0,6
2020-07-24,5,4,6
2020-07-25,1,0,0
2020-07-26,0,0,0
2020-07-27,3,4,0
2020-07-28,10,7,25
2020-07-29,9,4,64
2020-07-30,15,1,30
2020-07-31,5,3,11
2020-08-01,1,0,0
2020-08-02,0,0,0
2020-08-03,15,10,2
2020-08-04,16,7,1
2020-08-05,4,5,0
2020-08-06,6,5,1
2020-08-07,10,10,3
2020-08-08,2,0,0
2020-08-09,0,0,0
2020-08-10,9,1,1
2020-08-11,2,0,2
2020-08-12,8,1,2
2020-08-13,3,0,27
2020-08-14,3,0,3
2020-08-15,0,0,0
2020-08-16,0,0,0
2020-08-17,16,6,0
2020-08-18,16,12,5
2020-08-19,7,3,2
2020-08-20,5,2,3
2020-08-21,9,27,11
2020-08-22,1,0,0
2020-08-23,0,1,0
2020-08-24,4,1,118
2020-08-25,6,1,6
2020-08-26,6,3,23
2020-08-27,8,7,4
2020-08-28,1,3,2
2020-08-29,0,0,0
2020-08-30,0,0,0
2020-08-31,7,0,6
2020-09-01,8,0,8
2020-09-02,10,4,14
2020-09-03,5,2,5
2020-09-04,2,0,29
2020-09-05,2,0,0
2020-09-06,0,0,0
2020-09-07,0,22,0
2020-09-08,1,17,28
2020-09-09,5,1,57
2020-09-10,4,2,8
2020-09-11,1,8,0
2020-09-12,1,0,0
2020-09-13,0,0,0
2020-09-14,3,2,35
2020-09-15,11,2,12
2020-09-16,2,1,3
2020-09-17,9,0,1
2020-09-18,0,0,1
2020-09-19,0,0,0
2020-09-20,0,0,0
2020-09-21,4,1,2
2020-09-22,11,3,1
2020-09-23,2,14,13
2020-09-24,15,3,6
2020-09-25,12,0,42
2020-09-26,0,0,3
2020-09-27,0,0,3
