,django/django,pallets/flask,rails/rails
2010-05-06,11.0,1.0,2
2010-05-07,6.0,2.9,15
2010-05-08,12.0,-0.3450000000000003,13
2010-05-09,29.0,-0.16350000000000012,13
2010-05-10,27.0,1.8938375,3
2010-05-11,7.0,4.72189575,5
2010-05-12,7.0,1.3484877374999997,10
2010-05-13,4.0,2.4674202662499995,4
2010-05-14,6.0,-0.6166744017656252,4
2010-05-15,1.0,-0.3646497915828121,30
2010-05-16,3.0,2.741070667392188,33
2010-05-17,12.0,8.517781545,14
2010-05-18,0.0,2.8157206177187497,20
2010-05-19,2.0,-0.01681270015000047,12
2010-05-20,0.0,-0.6928994774609374,4
2010-05-21,5.0,-0.43881539411874915,6
2010-05-22,1.0,-0.3208833451078116,0
2010-05-23,1.0,-0.23686870124999926,2
2010-05-24,1.0,5.802686994703126,15
2010-05-25,0.0,2.2311518277515625,9
2010-05-26,0.0,3.3050433788640623,5
2010-05-27,0.0,14.250836276840625,6
2010-05-28,8.0,2.1021261474640616,2
2010-05-29,0.0,0.6523119999999996,6
2010-05-30,0.0,-1.017472325,3
2010-05-31,0.0,4.315547285000002,5
2010-06-01,0.0,-0.02474026684374886,11
2010-06-02,1.0,2.2483049732375013,15
2010-06-03,1.0,2.197743196579688,53
2010-06-04,0.0,-0.8146314153781243,24
2010-06-05,5.0,10.491810317398437,14
2010-06-06,0.0,-0.3821463486750005,8
2010-06-07,5.0,9.209234051178125,25
2010-06-08,1.0,-1.5052715488281256,44
2010-06-09,0.0,-0.8301172019453117,13
2010-06-10,1.0,3.4466683696671883,12
2010-06-11,1.0,-0.8214253841546865,26
2010-06-12,0.0,-0.5015567288578117,12
2010-06-13,0.0,-0.36196526442187443,21
2010-06-14,0.0,1.7044573465890633,24
2010-06-15,0.0,-0.36854898269218717,17
2010-06-16,0.0,-0.2266365753593747,23
2010-06-17,2.0,2.898625215,11
2010-06-18,0.0,5.6204017479375,22
2010-06-19,2.0,1.1991710898562495,29
2010-06-20,0.0,-0.5818240250000004,30
2010-06-21,3.0,-0.3451748924999999,11
2010-06-22,0.0,0.7515381239687506,33
2010-06-23,4.0,-0.29430924257187446,19
2010-06-24,1.0,-0.1894866637499996,35
2010-06-25,0.0,-0.15009114154687467,28
2010-06-26,0.0,4.874543671798438,16
2010-06-27,0.0,3.4143535087531247,22
2010-06-28,0.0,8.345040282428124,32
2010-06-29,0.0,0.7664063037499989,23
2010-06-30,1.0,3.1681191869843746,16
2010-07-01,0.0,0.08186739746406246,11
2010-07-02,0.0,5.3467604375,5
2010-07-03,0.0,-1.0534922812499996,10
2010-07-04,0.0,28.375942037421876,8
2010-07-05,4.0,2.6374356940078107,3
2010-07-06,0.0,11.760362580215624,7
2010-07-07,0.0,-0.7454635963546892,8
2010-07-08,0.0,-1.7453492283843732,29
2010-07-09,0.0,-1.190086650659373,6
2010-07-10,0.0,-0.8904825931296849,6
2010-07-11,0.0,-0.7180418814656228,5
2010-07-12,0.0,3.4394550700468765,11
2010-07-13,0.0,2.1173876258640636,22
2010-07-14,0.0,1.313463110065625,14
2010-07-15,0.0,10.414279438465625,14
2010-07-16,0.0,0.6250522949281243,17
2010-07-17,1.0,17.1215455,10
2010-07-18,0.0,7.654176699999999,15
2010-07-19,0.0,-2.2103818225000005,23
2010-07-20,1.0,3.7205123841875003,33
2010-07-21,1.0,-1.4184283791906236,62
2010-07-22,0.0,-0.9144143673890605,22
2010-07-23,0.0,7.315179734256252,20
2010-07-24,1.0,-1.3461431614265615,3
2010-07-25,1.0,15.259451948146875,28
2010-07-26,0.0,6.859327461696874,67
2010-07-27,0.0,12.075242993390624,19
2010-07-28,0.0,-2.4377755650781263,53
2010-07-29,0.0,2.6356096373203135,27
2010-07-30,7.0,-0.3315800699999989,35
2010-07-31,0.0,-1.001464454124998,9
2010-08-01,0.0,-0.7477825727874984,2
2010-08-02,0.0,-0.5483544494999985,31
2010-08-03,3.0,4.539062294784376,18
2010-08-04,2.0,-0.7783108550421872,20
2010-08-05,10.0,-0.4001207330031247,14
2010-08-06,19.0,-0.19186694831249995,31
2010-08-07,22.0,4.853523776840626,2
2010-08-08,0.0,-0.5889826025359377,5
2010-08-09,0.0,0.7091899375,15
2010-08-10,0.0,1.70203151875,13
2010-08-11,1.0,-0.3961540650781247,15
2010-08-12,1.0,-0.2410780126796872,25
2010-08-13,0.0,0.8565274375000003,17
2010-08-14,12.0,-0.21291023124999972,42
2010-08-15,0.0,0.8617629224218752,33
2010-08-16,2.0,-0.2079119839296874,12
2010-08-17,1.0,-0.09741820551562487,27
2010-08-18,3.0,2.9278477714328126,13
2010-08-19,2.0,-0.3506222175718751,24
2010-08-20,4.0,2.83778955375,14
2010-08-21,2.0,-0.40823032551562527,6
2010-08-22,0.0,-0.2164800487859373,10
2010-08-23,6.0,-0.1434185630156249,20
2010-08-24,1.0,-0.10987239003593713,34
2010-08-25,0.0,-0.08163133874999975,32
2010-08-26,1.0,-0.06819097654687481,29
2010-08-27,4.0,-0.058477646357812336,19
2010-08-28,10.0,-0.028704939046874926,11
2010-08-29,0.0,-0.025196557607812434,16
2010-08-30,8.0,0.0,33
2010-08-31,1.0,0.0,19
2010-09-01,0.0,0.0,18
2010-09-02,0.0,0.0,16
2010-09-03,3.0,0.0,93
