,django/django,pallets/flask,rails/rails
2018-05-06,0.0,0,5.0
2018-05-07,4.0,0,5.5
2018-05-08,1.0,0,2.1749999999999994
2018-05-09,5.0,6,3.2874999999999996
2018-05-10,3.0,0,1.1906874999999997
2018-05-11,1.0,0,4.32994125
2018-05-12,5.0,1,1.0715019375000001
2018-05-13,3.0,1,7.25255919375
2018-05-14,1.0,0,1.707818219921875
2018-05-15,4.0,0,-0.03787927952343706
2018-05-16,3.0,2,2.2652943857375005
2018-05-17,9.0,2,12.220499235329688
2018-05-18,5.0,0,3.211053957575
2018-05-19,0.0,0,3.56836448735
2018-05-20,1.0,0,0.6370292537890623
2018-05-21,1.0,4,9.975749939553126
2018-05-22,0.0,1,18.208194256915625
2018-05-23,1.0,0,5.024951628126562
2018-05-24,0.0,2,6.617459344667187
2018-05-25,4.0,0,1.6396158294390628
2018-05-26,2.0,0,2.1376465957046893
2018-05-27,8.0,0,2.419059642242189
2018-05-28,2.0,4,25.544701702539065
2018-05-29,1.0,5,6.32908007675625
2018-05-30,3.0,0,4.032921679292187
2018-05-31,3.0,2,7.53636812890625
2018-06-01,3.0,0,7.527317027571877
2018-06-02,3.0,0,0.497836990114064
2018-06-03,0.0,1,0.1875772152937516
2018-06-04,3.0,0,8.557539164043753
2018-06-05,2.0,0,3.9616965884343767
2018-06-06,5.0,0,5.138116852623439
2018-06-07,2.0,0,15.26180094603125
2018-06-08,5.0,0,9.270243402092188
2018-06-09,3.0,0,1.3110807307343748
2018-06-10,1.0,0,2.0676610180937507
2018-06-11,1.0,0,18.37967802886094
2018-06-12,6.0,0,1.9128881497718755
2018-06-13,2.0,3,0.7671405102968758
2018-06-14,1.0,4,1.2939747074250012
2018-06-15,4.0,2,0.5375573059828151
2018-06-16,6.0,0,-0.2007705842984353
2018-06-17,1.0,1,0.13525423250625157
2018-06-18,2.0,1,7.328109600293751
2018-06-19,1.0,0,7.71690856079375
2018-06-20,11.0,2,3.3700182579531246
2018-06-21,8.0,0,6.699916434523437
2018-06-22,3.0,0,1.4478323483453122
2018-06-23,0.0,0,5.814014607610938
2018-06-24,0.0,0,3.5458809356625003
2018-06-25,5.0,0,7.628441401948439
2018-06-26,0.0,0,10.233979814589063
2018-06-27,4.0,2,6.7454420313218755
2018-06-28,7.0,4,5.835703404598437
2018-06-29,8.0,4,10.942497806945312
2018-06-30,3.0,0,5.4511375544156255
2018-07-01,0.0,0,3.7415351575328133
2018-07-02,6.0,0,5.994728300920313
