,rails/rails,django/django,pallets/flask
2018-05-06,5,0.0,0
2018-05-07,6,4.0,0
2018-05-08,3,1.0,0
2018-05-09,4,5.0,6
2018-05-10,2,3.0,0
2018-05-11,5,1.0,0
2018-05-12,2,5.0,1
2018-05-13,8,3.0,1
2018-05-14,3,1.0,0
2018-05-15,1,4.0,0
2018-05-16,3,3.0,2
2018-05-17,13,9.0,2
2018-05-18,5,5.0,0
2018-05-19,5,0.0,0
2018-05-20,2,1.0,0
2018-05-21,11,1.0,4
2018-05-22,20,0.0,1
2018-05-23,8,1.0,0
2018-05-24,9,0.0,2
2018-05-25,4,4.0,0
2018-05-26,4,2.0,0
2018-05-27,4,8.0,0
2018-05-28,27,2.0,4
2018-05-29,10,1.0,5
2018-05-30,7,3.0,0
2018-05-31,10,3.0,2
2018-06-01,10,3.0,0
2018-06-02,3,3.0,0
2018-06-03,2,0.0,1
2018-06-04,10,3.0,0
2018-06-05,6,2.0,0
2018-06-06,7,5.0,0
2018-06-07,17,2.0,0
2018-06-08,12,5.0,0
2018-06-09,4,3.0,0
2018-06-10,4,1.0,0
2018-06-11,20,1.0,0
2018-06-12,5,6.0,0
2018-06-13,3,2.0,3
2018-06-14,3,1.0,4
2018-06-15,2,4.0,2
2018-06-16,1,6.0,0
2018-06-17,1,1.0,1
2018-06-18,8,2.0,1
2018-06-19,9,1.0,0
2018-06-20,5,11.0,2
2018-06-21,8,8.0,0
2018-06-22,3,3.0,0
2018-06-23,7,0.0,0
2018-06-24,5,0.0,0
2018-06-25,9,5.0,0
2018-06-26,12,0.0,0
2018-06-27,9,4.0,2
2018-06-28,8,7.0,4
2018-06-29,13,8.0,4
2018-06-30,8,3.0,0
2018-07-01,6,0.0,0
2018-07-02,8,6.0,0
2018-07-03,8,0.0,0
2018-07-04,16,4.0,0
2018-07-05,7,4.0,0
2018-07-06,8,3.0,0
2018-07-07,8,2.0,0
2018-07-08,12,0.0,0
2018-07-09,6,13.0,0
2018-07-10,6,9.0,0
2018-07-11,4,12.0,2
2018-07-12,7,0.0,0
2018-07-13,4,3.0,0
2018-07-14,5,1.0,0
2018-07-15,8,0.0,0
2018-07-16,11,2.0,0
2018-07-17,6,1.0,0
2018-07-18,9,4.0,0
2018-07-19,8,8.0,0
2018-07-20,21,6.0,3
2018-07-21,8,2.0,0
2018-07-22,17,2.0,0
2018-07-23,3,1.0,0
2018-07-24,3,3.0,2
2018-07-25,6,6.0,0
2018-07-26,22,5.0,0
2018-07-27,5,5.0,0
2018-07-28,6,0.0,0
2018-07-29,8,0.0,0
2018-07-30,11,4.0,0
2018-07-31,24,4.0,0
2018-08-01,6,8.0,0
2018-08-02,6,10.0,0
2018-08-03,6,7.0,0
2018-08-04,1,5.0,0
2018-08-05,5,2.0,0
2018-08-06,2,3.0,0
2018-08-07,8,5.0,0
2018-08-08,10,4.0,0
2018-08-09,9,0.0,0
2018-08-10,6,2.0,0
2018-08-11,13,0.0,0
2018-08-12,7,1.0,0
2018-08-13,14,2.0,0
2018-08-14,10,0.0,0
2018-08-15,14,2.0,0
2018-08-16,18,9.0,0
2018-08-17,5,7.0,0
2018-08-18,5,6.0,0
2018-08-19,23,1.0,0
2018-08-20,17,8.0,0
2018-08-21,4,5.0,0
2018-08-22,32,4.0,0
2018-08-23,19,5.0,0
2018-08-24,6,0.0,1
2018-08-25,8,3.0,0
2018-08-26,0,0.0,0
2018-08-27,7,2.0,0
2018-08-28,10,7.0,0
2018-08-29,21,2.0,0
2018-08-30,21,1.0,0
2018-08-31,10,5.0,0
2018-09-01,3,1.0,0
2018-09-02,6,0.0,0
2018-09-03,5,1.0,0
2018-09-04,6,1.0,0
2018-09-05,9,0.0,0
2018-09-06,20,1.0,0
2018-09-07,8,0.0,0
2018-09-08,8,3.0,0
2018-09-09,8,0.0,1
2018-09-10,8,9.0,0
2018-09-11,19,7.0,0
2018-09-12,21,1.0,0
2018-09-13,27,3.0,0
2018-09-14,10,4.0,0
2018-09-15,8,0.0,0
2018-09-16,9,1.0,0
2018-09-17,15,5.0,6
2018-09-18,29,6.0,0
2018-09-19,28,3.0,4
2018-09-20,25,0.0,0
2018-09-21,18,0.0,3
2018-09-22,4,0.0,0
2018-09-23,9,0.0,2
2018-09-24,13,0.0,0
2018-09-25,15,11.0,0
2018-09-26,18,11.0,0
2018-09-27,33,1.0,0
2018-09-28,34,2.0,0
2018-09-29,2,2.0,0
2018-09-30,11,0.0,1
2018-10-01,12,15.0,0
2018-10-02,37,14.0,0
2018-10-03,26,5.0,0
2018-10-04,28,7.0,0
2018-10-05,32,1.0,0
