,rust-lang/rust,swiftlang/swift,golang/go
2018-08-17,44,93,14
2018-08-18,40,53,8
2018-08-19,83,7,0
2018-08-20,72,70,53
2018-08-21,44,65,53
2018-08-22,118,62,53
2018-08-23,72,50,11
2018-08-24,87,95,28
2018-08-25,43,52,7
2018-08-26,57,18,6
2018-08-27,89,37,3
2018-08-28,61,80,13
2018-08-29,92,88,6
2018-08-30,98,56,29
2018-08-31,78,89,11
2018-09-01,64,26,2
2018-09-02,42,5,3
2018-09-03,74,5,7
2018-09-04,39,55,10
2018-09-05,64,82,17
2018-09-06,93,73,9
2018-09-07,74,38,14
2018-09-08,63,15,3
2018-09-09,47,1,3
2018-09-10,69,44,2
2018-09-11,85,61,7
2018-09-12,71,52,10
2018-09-13,76,52,14
2018-09-14,44,92,6
2018-09-15,69,29,3
2018-09-16,50,49,3
2018-09-17,51,34,12
2018-09-18,61,56,12
2018-09-19,45,71,9
2018-09-20,86,77,8
2018-09-21,50,80,0
2018-09-22,57,68,0
2018-09-23,43,10,2
2018-09-24,41,85,17
2018-09-25,51,75,13
2018-09-26,87,95,11
2018-09-27,35,76,14
2018-09-28,37,68,10
2018-09-29,66,20,4
2018-09-30,59,8,1
2018-10-01,51,60,6
2018-10-02,64,40,27
2018-10-03,42,72,29
2018-10-04,62,67,19
2018-10-05,82,93,15
2018-10-06,48,18,11
2018-10-07,30,13,1
2018-10-08,76,54,5
2018-10-09,76,68,16
2018-10-10,76,56,16
2018-10-11,58,65,17
2018-10-12,69,73,17
2018-10-13,76,30,4
2018-10-14,54,13,3
2018-10-15,123,55,20
2018-10-16,69,62,11
2018-10-17,63,31,18
2018-10-18,73,16,11
2018-10-19,67,40,13
2018-10-20,54,25,2
2018-10-21,36,15,1
2018-10-22,52,16,14
2018-10-23,57,42,24
2018-10-24,58,49,19
2018-10-25,122,47,15
2018-10-26,77,79,11
2018-10-27,49,45,7
2018-10-28,61,9,9
2018-10-29,61,57,12
2018-10-30,70,68,23
2018-10-31,62,67,15
2018-11-01,96,54,10
2018-11-02,62,56,41
2018-11-03,71,20,6
2018-11-04,37,62,2
2018-11-05,99,45,21
2018-11-06,53,105,15
2018-11-07,81,89,6
2018-11-08,56,71,17
2018-11-09,49,101,16
2018-11-10,85,58,7
2018-11-11,60,5,4
2018-11-12,38,44,32
2018-11-13,63,73,19
2018-11-14,36,101,23
2018-11-15,67,83,9
2018-11-16,123,115,20
2018-11-17,34,45,3
2018-11-18,47,16,2
2018-11-19,52,9,8
2018-11-20,72,14,12
2018-11-21,108,10,8
2018-11-22,61,22,2
2018-11-23,42,8,4
2018-11-24,61,3,1
2018-11-25,63,1,0
2018-11-26,56,82,13
2018-11-27,127,75,13
2018-11-28,47,88,16
2018-11-29,84,74,26
2018-11-30,103,98,10
2018-12-01,18,25,6
2018-12-02,57,13,2
2018-12-03,79,49,10
2018-12-04,82,86,14
2018-12-05,59,60,20
2018-12-06,74,66,10
2018-12-07,57,79,10
2018-12-08,57,41,1
2018-12-09,57,14,1
2018-12-10,73,62,10
2018-12-11,78,49,15
2018-12-12,86,78,21
2018-12-13,53,84,25
2018-12-14,80,38,16
2018-12-15,57,55,5
2018-12-16,40,25,1
2018-12-17,56,48,19
2018-12-18,50,65,18
2018-12-19,117,47,8
2018-12-20,86,52,13
2018-12-21,79,77,4
2018-12-22,75,5,5
2018-12-23,54,8,0
2018-12-24,38,3,3
2018-12-25,60,6,1
2018-12-26,52,5,1
2018-12-27,76,0,3
2018-12-28,61,2,3
2018-12-29,73,0,4
2018-12-30,72,5,3
2018-12-31,50,1,1
2019-01-01,60,2,2
2019-01-02,83,71,13
2019-01-03,89,44,9
2019-01-04,68,81,10
2019-01-05,70,25,2
2019-01-06,63,10,1
2019-01-07,82,31,10
2019-01-08,91,88,8
2019-01-09,51,60,10
2019-01-10,45,66,5
2019-01-11,44,58,2
2019-01-12,80,24,1
2019-01-13,107,7,0
2019-01-14,69,53,5
2019-01-15,67,74,5
2019-01-16,46,65,2
2019-01-17,45,64,6
2019-01-18,82,80,8
2019-01-19,99,27,0
2019-01-20,55,25,2
2019-01-21,72,36,3
2019-01-22,102,82,3
2019-01-23,61,42,6
2019-01-24,76,46,1
2019-01-25,92,50,2
2019-01-26,111,60,0
2019-01-27,82,20,4
2019-01-28,65,46,2
2019-01-29,59,76,4
2019-01-30,72,59,7
2019-01-31,66,41,2
2019-02-01,107,62,4
2019-02-02,37,19,0
2019-02-03,69,25,0
2019-02-04,47,70,3
2019-02-05,79,76,3
2019-02-06,66,67,1
2019-02-07,131,62,3
2019-02-08,93,76,2
2019-02-09,68,9,2
2019-02-10,75,10,1
2019-02-11,83,66,13
2019-02-12,78,79,8
2019-02-13,106,55,5
2019-02-14,72,77,0
