,highcharts/highcharts,plotly/plotly.js,apache/echarts
2017-05-31,0,5,1.0
2017-06-01,1,4,0.0
2017-06-02,2,2,0.0
2017-06-03,0,0,0.0
2017-06-04,0,0,1.0
2017-06-05,0,2,7.0
2017-06-06,0,22,6.0
2017-06-07,1,6,4.0
2017-06-08,5,33,2.0
2017-06-09,6,20,1.0
2017-06-10,0,3,0.0
2017-06-11,0,2,3.0
2017-06-12,1,13,4.0
2017-06-13,8,12,2.0
2017-06-14,3,21,5.0
2017-06-15,6,16,2.0
2017-06-16,5,34,1.0
2017-06-17,0,3,0.0
2017-06-18,0,0,0.0
2017-06-19,26,7,0.0
2017-06-20,4,14,0.0
2017-06-21,9,5,0.0
2017-06-22,9,7,0.0
2017-06-23,9,9,0.0
2017-06-24,0,0,0.0
2017-06-25,0,0,0.0
2017-06-26,12,18,1.0
2017-06-27,0,9,2.0
2017-06-28,0,10,0.0
2017-06-29,1,6,2.0
2017-06-30,0,21,1.0
2017-07-01,0,0,0.0
2017-07-02,0,0,2.0
2017-07-03,1,2,0.0
2017-07-04,0,0,0.0
2017-07-05,0,5,1.0
2017-07-06,0,9,3.0
2017-07-07,0,11,0.0
2017-07-08,0,0,0.0
2017-07-09,0,0,0.0
2017-07-10,0,8,1.0
2017-07-11,0,7,1.0
2017-07-12,0,3,1.0
2017-07-13,9,17,0.0
2017-07-14,0,6,1.0
2017-07-15,0,0,1.0
2017-07-16,0,0,1.0
2017-07-17,13,8,0.0
2017-07-18,10,16,2.0
2017-07-19,2,15,0.0
2017-07-20,0,2,3.0
2017-07-21,0,5,0.0
2017-07-22,0,0,1.0
2017-07-23,0,0,1.0
2017-07-24,3,3,0.0
2017-07-25,6,13,3.0
2017-07-26,0,9,8.0
2017-07-27,10,6,0.0
2017-07-28,10,3,0.0
2017-07-29,0,0,0.0
2017-07-30,0,0,2.0
2017-07-31,6,0,0.0
2017-08-01,8,8,1.0
2017-08-02,12,8,1.0
2017-08-03,13,3,2.0
2017-08-04,11,10,0.0
2017-08-05,1,13,0.0
2017-08-06,0,0,0.0
2017-08-07,13,9,2.0
2017-08-08,13,8,4.0
2017-08-09,5,0,0.0
2017-08-10,9,5,4.0
2017-08-11,4,2,4.0
2017-08-12,0,0,4.0
2017-08-13,0,0,0.0
2017-08-14,9,16,4.0
2017-08-15,1,11,7.0
2017-08-16,13,3,2.0
