,DevExpress/testcafe,seleniumhq/selenium,cypress-io/cypress
2019-04-20,0,1.0,1
2019-04-21,0,-0.19999999999999996,0
2019-04-22,2,2.92,1
2019-04-23,1,0.3520000000000001,2
2019-04-24,3,5.5264,2
2019-04-25,2,2.550464,2
2019-04-26,2,3.5507712,1
2019-04-27,0,-1.7351347200000002,0
2019-04-28,0,3.1051898879999995,0
2019-04-29,1,-0.4112943104000002,2
2019-04-30,1,4.027193344,1
2019-05-01,0,4.3652487168,5
2019-05-02,0,11.9489534976,5
2019-05-03,0,8.1272554496,1
2019-05-04,0,-2.2050671616000006,0
2019-05-05,0,-1.5117624320000012,0
2019-05-06,4,1.2637624319999994,1
2019-05-07,4,1.1918244863999996,3
2019-05-08,0,1.2663965695999997,1
2019-05-09,0,-1.6994647039999997,0
2019-05-10,0,-0.030558310399999566,0
2019-05-11,0,0.07708631040000113,0
2019-05-12,0,-0.7140287487999996,0
2019-05-13,2,5.6439990272,4
2019-05-14,0,0.5507009536000003,0
2019-05-15,0,-0.07048734720000005,2
2019-05-16,0,0.22546401279999995,9
2019-05-17,2,0.3476364287999999,6
2019-05-18,0,-0.5797304320000001,1
2019-05-19,0,-0.36210186240000014,0
2019-05-20,1,1.7379767296,2
2019-05-21,0,2.4002554880000004,17
2019-05-22,0,1.0735169536000004,12
2019-05-23,3,-0.8126819328000001,2
2019-05-24,2,-0.41498378240000017,4
2019-05-25,0,-0.27472906240000006,1
2019-05-26,0,-0.19713495040000006,0
2019-05-27,2,1.85378816,1
2019-05-28,5,2.4795868160000003,3
2019-05-29,0,2.1380447232,8
2019-05-30,2,1.9978165248000002,0
2019-05-31,2,2.9238612992,1
2019-06-01,0,0.6641279999999998,1
2019-06-02,0,-1.0822656000000004,0
2019-06-03,1,10.37545216,2
2019-06-04,1,0.3521500160000004,5
2019-06-05,0,3.1704876032,13
2019-06-06,0,1.9678614527999998,0
2019-06-07,2,-1.9027356672000002,0
2019-06-08,0,-1.0705083392000003,5
2019-06-09,0,-0.7399776256000001,0
2019-06-10,4,1.4655009791999998,1
2019-06-11,1,0.18666700800000058,2
2019-06-12,0,-0.7066747903999997,4
2019-06-13,6,6.6469465088,1
2019-06-14,0,1.3649024000000007,3
2019-06-15,0,-1.2945494016000003,0
2019-06-16,0,4.3576064,0
2019-06-17,2,4.56651776,6
2019-06-18,0,-1.9252541440000002,4
2019-06-19,0,2.0210639871999994,9
2019-06-20,0,10.7517572096,2
2019-06-21,0,-1.1207741439999994,2
2019-06-22,0,-1.8898085888000007,0
2019-06-23,0,-0.08141445120000057,0
2019-06-24,0,6.05069312,5
2019-06-25,0,-2.0635914239999993,9
2019-06-26,1,-0.029813862400000612,4
2019-06-27,0,3.1432586239999996,4
2019-06-28,2,1.615349964800001,4
2019-06-29,0,-0.34558842879999974,9
2019-06-30,0,-0.8504670208000004,4
2019-07-01,1,11.483189248,4
2019-07-02,10,-2.784556134399999,4
2019-07-03,0,6.743864627199999,5
2019-07-04,3,22.655083008,0
2019-07-05,10,-6.1844291583999995,0
2019-07-06,0,-2.800399257600002,0
2019-07-07,0,-1.765741363200001,0
2019-07-08,0,10.7401220096,2
2019-07-09,1,8.625517056000001,13
2019-07-10,4,0.8442340351999995,3
2019-07-11,3,6.925730303999999,2
2019-07-12,1,6.161352396800002,6
2019-07-13,0,4.938634240000001,0
2019-07-14,0,-3.799577600000001,0
2019-07-15,0,-2.1119462400000018,4
2019-07-16,1,4.498722816,5
2019-07-17,5,5.631033651200001,8
2019-07-18,1,3.0950500352000003,6
2019-07-19,0,-0.6873502719999998,1
2019-07-20,0,4.113488896,0
2019-07-21,0,-1.324198911999999,0
2019-07-22,2,0.5833150463999996,4
2019-07-23,0,-1.2534067200000005,5
2019-07-24,1,2.1950151680000003,1
